,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Arraial do Cabo,40,BR,1619480530,83,-22.9661,-42.0278,25.0,1.54
1,Salinópolis,98,BR,1619480530,83,-0.6136,-47.3561,26.31,4.09
2,Gazli,0,UZ,1619480530,30,40.1333,63.45,19.36,5.54
3,Upernavik,71,GL,1619480343,80,72.7868,-56.1549,1.17,2.22
4,San Patricio,90,US,1619480358,69,28.017,-97.5169,27.0,7.72
5,Yellowknife,40,CA,1619480530,52,62.456,-114.3525,-11.11,8.23
6,Cidreira,29,BR,1619480531,71,-30.1811,-50.2056,17.49,4.28
7,Iqaluit,90,CA,1619480368,80,63.7506,-68.5145,-4.0,10.8
8,Mana,100,GF,1619480531,90,5.6592,-53.7767,25.15,4.92
9,Aljezur,90,PT,1619480531,93,37.3191,-8.8033,14.5,2.09
10,Longyearbyen,40,SJ,1619480531,63,78.2186,15.6401,-7.0,4.63
11,Lompoc,1,US,1619480489,51,34.6391,-120.4579,16.0,7.72
12,Ushuaia,75,AR,1619480406,87,-54.8,-68.3,6.0,1.54
13,Taoudenni,25,ML,1619480240,14,22.6783,-3.9836,32.72,4.57
14,Port Macquarie,2,AU,1619480368,73,-31.4333,152.9167,20.56,0.89
15,Oriximiná,96,BR,1619480532,93,-1.7656,-55.8661,24.56,0.43
16,Kaitangata,71,NZ,1619480301,81,-46.2817,169.8464,8.89,2.24
17,Hermanus,74,ZA,1619480236,84,-34.4187,19.2345,16.67,2.42
18,East London,97,ZA,1619480532,81,-33.0153,27.9116,20.25,3.28
19,Qaqortoq,75,GL,1619480327,87,60.7167,-46.0333,3.0,1.54
20,Albany,3,US,1619480532,32,42.6001,-73.9662,9.44,2.68
21,Rikitea,83,PF,1619480533,73,-23.1203,-134.9692,25.41,3.2
22,Bluff,54,NZ,1619480533,75,-46.6,168.3333,7.78,5.36
23,Atuona,82,PF,1619480099,74,-9.8,-139.0333,26.69,6.5
24,Tocopilla,9,CL,1619480533,65,-22.092,-70.1979,19.24,2.07
25,Qaanaaq,95,GL,1619480319,70,77.484,-69.3632,3.62,3.07
26,Saint Anthony,90,US,1619480236,81,45.0205,-93.218,8.33,4.63
27,Kichera,35,RU,1619480533,55,55.9375,110.0997,-1.31,5.03
28,Lavrentiya,81,RU,1619480534,90,65.5833,-171.0,0.37,0.92
29,Buala,95,SB,1619480534,81,-8.145,159.5921,27.52,3.21
30,Kendari,57,ID,1619480534,81,-3.945,122.4989,26.66,0.49
31,Elko,90,US,1619480534,52,41.0002,-115.5012,8.33,3.09
32,Busselton,99,AU,1619480535,73,-33.65,115.3333,19.37,0.94
33,Ulaanbaatar,20,MN,1619480535,69,47.9077,106.8832,-1.0,6.0
34,Provincia di Ravenna,99,IT,1619480535,82,44.4167,11.9833,14.0,3.6
35,Bengkulu,84,ID,1619480279,86,-3.8004,102.2655,24.41,1.71
36,Hithadhoo,12,MV,1619480535,63,-0.6,73.0833,27.94,1.85
37,Bonavista,100,CA,1619480536,70,48.6499,-53.1147,5.0,4.63
38,Leningradskiy,41,RU,1619480536,85,69.3833,178.4167,-0.61,2.09
39,Kavieng,46,PG,1619480536,69,-2.5744,150.7967,28.91,1.1
40,Zyryanka,10,RU,1619480536,75,65.75,150.85,-3.99,6.88
41,Road Town,20,VG,1619480537,69,18.4167,-64.6167,27.0,3.09
42,Ponta do Sol,71,PT,1619480537,81,32.6667,-17.1,16.11,1.34
43,Darnah,3,LY,1619480537,79,32.767,22.6367,14.87,1.09
44,Punta Arenas,90,CL,1619480285,93,-53.15,-70.9167,7.0,2.06
45,Bambari,27,CF,1619480537,67,5.768,20.6757,24.01,1.2
46,Jamestown,40,US,1619480538,42,42.097,-79.2353,8.0,5.14
47,Cape Town,75,ZA,1619480242,94,-33.9258,18.4232,17.22,5.66
48,Yumen,98,CN,1619480538,19,40.2833,97.2,5.0,2.81
49,Santa Cruz,20,MA,1619480538,88,30.4202,-9.5982,17.0,2.06
50,Bredasdorp,41,ZA,1619480538,94,-34.5322,20.0403,12.0,1.03
51,Norman Wells,75,CA,1619480538,45,65.282,-126.8329,-8.0,3.09
52,Kapaa,1,US,1619480539,65,22.0752,-159.319,26.0,5.14
53,Betūl,70,IN,1619480539,13,21.9153,77.8961,26.05,2.14
54,Yar-Sale,100,RU,1619480539,97,66.8333,70.8333,0.87,5.81
55,Port-Gentil,75,GA,1619480539,83,-0.7193,8.7815,28.0,2.06
56,Carnarvon,0,AU,1619480108,67,-24.8667,113.6333,17.0,3.09
57,Tiarei,40,PF,1619480540,66,-17.5333,-149.3333,31.0,3.09
58,Airai,56,TL,1619480540,50,-8.9266,125.4092,19.05,0.92
59,Bethel,1,US,1619480459,19,41.3712,-73.414,14.0,4.12
60,Dikson,100,RU,1619480540,98,73.5069,80.5464,-0.11,7.56
61,Cayenne,75,GF,1619480272,94,4.9333,-52.3333,25.56,1.03
62,Havelock,1,US,1619480380,59,34.8791,-76.9013,19.0,4.12
63,Bandraboua,0,YT,1619480541,94,-12.7044,45.1223,25.0,1.54
64,Pisco,40,PE,1619480380,82,-13.7,-76.2167,19.0,4.12
65,Isla Mujeres,40,MX,1619480541,65,21.2311,-86.731,29.0,4.63
66,Nikolskoye,75,RU,1619480309,75,59.7035,30.7861,5.0,3.0
67,Khao Wong,100,TH,1619480541,90,16.7001,104.0902,23.6,1.14
